Date,Title,Content,출처,구분,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2015-03-27,에이치엘비(주) 집합투자업자등의 의결권행사,에이치엘비(주) 집합투자업자등의 의결권행사 0,코스닥공시,의결권행사공시,,,,
2015-04-06,에이치엘비(주) (정정)유상증자결정(종속회사의 주요경영사항),에이치엘비(주) (정정)유상증자결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2015-04-15,에이치엘비(주) 전환청구권행사(제23회차CB),에이치엘비(주) 전환청구권행사(제23회차CB) 0,코스닥공시,신고사항,,,,
2015-04-20,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2015-04-27,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2015-04-27,에이치엘비(주) 추가상장(CB전환),에이치엘비(주) 추가상장(CB전환) 0,코스닥공시,시장조치,,,,
2015-04-30,에이치엘비(주) 업종변경,에이치엘비(주) 업종변경 0,코스닥공시,시장조치,,,,
2015-05-06,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2015-06-12,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2015-08-18,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2015-08-21,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2015-10-20,에이치엘비(주) 전환사채권발행결정(제25회차),에이치엘비(주) 전환사채권발행결정(제25회차) 0,코스닥공시,수시공시,,,,
2015-10-20,에이치엘비(주) 증권 발행결과(자율공시)(제25회차 CB),에이치엘비(주) 증권 발행결과(자율공시)(제25회차 CB) 0,코스닥공시,수시공시,,,,
2015-10-20,에이치엘비(주) 조회공시요구(풍문또는보도)((주)에너지솔루션즈가 진행하는 제3자배정 유상증자 참여설),에이치엘비(주) 조회공시요구(풍문또는보도)((주)에너지솔루션즈가 진행하는 제3자배정 유상증자 참여설) 0,코스닥공시,시장조치,,,,
2015-10-21,에이치엘비(주) 조회공시요구(풍문또는보도)에대한답변(미확정),에이치엘비(주) 조회공시요구(풍문또는보도)에대한답변(미확정) 0,코스닥공시,수시공시,,,,
2015-10-22,에이치엘비(주) 타법인주식및출자증권취득결정,에이치엘비(주) 타법인주식및출자증권취득결정 0,코스닥공시,수시공시,,,,
2015-11-26,에이치엘비(주) 추가상장(BW행사),에이치엘비(주) 추가상장(BW행사) 0,코스닥공시,시장조치,,,,
2015-12-15,에이치엘비(주) 주식명의개서정지(주주명부폐쇄),에이치엘비(주) 주식명의개서정지(주주명부폐쇄) 0,코스닥공시,신고사항,,,,
2016-01-08,에이치엘비(주) 전환청구권행사(제7회차),에이치엘비(주) 전환청구권행사(제7회차) 0,코스닥공시,신고사항,,,,
2016-01-08,에이치엘비(주) 유상증자결정(종속회사의 주요경영사항),에이치엘비(주) 유상증자결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2016-01-15,에이치엘비(주) 전환청구권행사(제24회차),에이치엘비(주) 전환청구권행사(제24회차) 0,코스닥공시,신고사항,,,,
2016-01-26,에이치엘비(주) 추가상장(CB전환),에이치엘비(주) 추가상장(CB전환) 0,코스닥공시,시장조치,,,,
2016-02-12,에이치엘비(주) 매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,에이치엘비(주) 매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동 0,코스닥공시,수시공시,,,,
2016-02-24,에이치엘비(주) 주주총회소집결의,에이치엘비(주) 주주총회소집결의 0,코스닥공시,수시공시,,,,
2016-03-07,에이치엘비(주) (정정)매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,에이치엘비(주) (정정)매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동 0,코스닥공시,수시공시,,,,
2016-03-17,에이치엘비(주) 감사보고서 제출,에이치엘비(주) 감사보고서 제출 0,코스닥공시,수시공시,,,,
2016-03-25,에이치엘비(주) 정기주주총회결과,에이치엘비(주) 정기주주총회결과 0,코스닥공시,수시공시,,,,
2016-04-11,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2016-04-20,에이치엘비(주) 전환가액의조정(제25회차 CB),에이치엘비(주) 전환가액의조정(제25회차 CB) 0,코스닥공시,신고사항,,,,
2016-06-07,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2016-07-05,에이치엘비(주) 추가상장(국내사모 BW행사),에이치엘비(주) 추가상장(국내사모 BW행사) 0,코스닥공시,시장조치,,,,
2016-08-22,에이치엘비(주) 기업설명회(IR) 개최,에이치엘비(주) 기업설명회(IR) 개최 0,코스닥공시,신고사항,,,,
2016-11-24,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2016-12-12,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2016-12-15,에이치엘비(주) 주식명의개서정지(주주명부폐쇄),에이치엘비(주) 주식명의개서정지(주주명부폐쇄) 0,코스닥공시,신고사항,,,,
2016-12-23,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2017-01-11,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2017-02-23,에이치엘비(주) 주주총회소집결의,에이치엘비(주) 주주총회소집결의 0,코스닥공시,수시공시,,,,
2017-02-24,에이치엘비(주) (정정)주주총회소집결의,에이치엘비(주) (정정)주주총회소집결의 0,코스닥공시,수시공시,,,,
2017-03-06,에이치엘비(주) 매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,에이치엘비(주) 매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동 0,코스닥공시,수시공시,,,,
2017-03-13,에이치엘비(주) 추가상장(주식매수선택권행사),에이치엘비(주) 추가상장(주식매수선택권행사) 0,코스닥공시,시장조치,,,,
2017-03-15,에이치엘비(주) (정정)매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,에이치엘비(주) (정정)매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동 0,코스닥공시,수시공시,,,,
2017-03-16,에이치엘비(주) 감사보고서 제출,에이치엘비(주) 감사보고서 제출 0,코스닥공시,수시공시,,,,
2017-03-24,에이치엘비(주) 정기주주총회결과,에이치엘비(주) 정기주주총회결과 0,코스닥공시,수시공시,,,,
2017-03-31,에이치엘비(주) 회사합병 결정(종속회사의 주요경영사항),에이치엘비(주) 회사합병 결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2017-04-21,에이치엘비(주) 전환가액의조정(제25회차),에이치엘비(주) 전환가액의조정(제25회차) 0,코스닥공시,신고사항,,,,
2017-04-25,에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항),에이치엘비(주) (정정)회사합병 결정(종속회사의 주요경영사항) 0,코스닥공시,수시공시,,,,
2017-06-13,에이치엘비(주) 대표이사변경,에이치엘비(주) 대표이사변경 0,코스닥공시,수시공시,,,,
