Date,Content,label
2018-01-03,,-1
2018-01-04,,2
2018-01-05,,1
2018-01-08,,0
2018-01-09,,1
2018-01-10,,1
2018-01-11,,2
2018-01-12,,1
2018-01-15,,1
2018-01-16,,2
2018-01-17,,1
2018-01-18,,3
2018-01-19,,0
2018-01-22,,2
2018-01-23,(주)신한금융지주회사 타법인주식및출자증권취득결정(자회사의 주요경영사항) 0,1
2018-01-24,,2
2018-01-25,,2
2018-01-26,,2
2018-01-29,,1
2018-01-30,,1
2018-01-31,(주)신한금융지주회사 결산실적공시 예고(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,2
2018-02-01,,2
2018-02-02,,1
2018-02-05,,2
2018-02-06,(주)신한금융지주회사 상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,3
2018-02-07,(주)신한금융지주회사 매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항) 0 (주)신한금융지주회사 매출액또는손익구조30%(대규모법인은15%)이상변경 0 (주)신한금융지주회사 매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 현금ㆍ현물 배당 결정(자회사의 주요경영사항) 0 (주)신한금융지주회사 현금ㆍ현물 배당 결정(자회사의 주요경영사항) 0 (주)신한금융지주회사 현금ㆍ현물 배당 결정 0,2
2018-02-08,,1
2018-02-09,,3
2018-02-12,,1
2018-02-13,,2
2018-02-14,,2
2018-02-19,,1
2018-02-20,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,1
2018-02-21,(주)신한금융지주회사 주주총회소집결의 0,2
2018-02-22,(주)신한금융지주회사 상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,2
2018-02-23,,1
2018-02-26,,2
2018-02-27,,2
2018-02-28,,1
2018-03-02,(주)신한금융지주회사 기업지배구조 관련 공시(자율공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 기업지배구조 관련 공시(자율공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 기업지배구조 관련 공시(자율공시) 0,2
2018-03-05,,2
2018-03-06,,2
2018-03-07,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 감사보고서 제출(자회사의 주요경영사항) 0 (주)신한금융지주회사 감사보고서 제출(자회사의 주요경영사항) 0 (주)신한금융지주회사 감사보고서 제출 0,2
2018-03-08,,1
2018-03-09,(주)신한금융지주회사 조회공시 요구(풍문 또는 보도) 0 (주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0 (주)신한금융지주회사 조회공시 요구(풍문 또는 보도)에 대한 답변(미확정) 0,1
2018-03-12,,1
2018-03-13,,2
2018-03-14,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0 (주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,2
2018-03-15,,2
2018-03-16,,1
2018-03-19,,1
2018-03-20,(주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정(자회사의 주요경영사항) 0,1
2018-03-21,,1
2018-03-22,(주)신한금융지주회사 상각형 조건부자본증권 발행결정 0 (주)신한금융지주회사 정기주주총회결과 0,1
2018-03-23,(주)신한금융지주회사 신탁업자의 의결권 행사 및 불행사 0,2
2018-03-26,,1
2018-03-27,,1
2018-03-28,,2
2018-03-29,,1
2018-03-30,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,1
2018-04-02,,2
2018-04-03,,3
2018-04-04,,1
2018-04-05,,1
2018-04-06,(주)신한금융지주회사 조회공시 요구(풍문 또는 보도)에 대한 답변(미확정) 0 (주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정 0,1
2018-04-09,,1
2018-04-10,,1
2018-04-11,(주)신한금융지주회사 기타 경영사항(자율공시) 0,2
2018-04-12,(주)신한금융지주회사 (정정)상각형 조건부자본증권 발행결정 0,1
2018-04-13,(주)신한금융지주회사 기업설명회(IR) 개최(안내공시) 0,1
2018-04-16,,1
2018-04-17,,2
2018-04-18,,1
2018-04-19,,2
2018-04-20,(주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항) 0 (주)신한금융지주회사 연결재무제표기준영업(잠정)실적(공정공시) 0,2
2018-04-23,,1
2018-04-24,,1
2018-04-25,,2
2018-04-26,,1
2018-04-27,,1
2018-04-30,,1
2018-05-02,(주)신한금융지주회사 해외증권거래소등에신고한사업보고서등의국내신고 0,1
2018-05-03,,2
2018-05-04,,2
